Row,Col
361,361
361,1257
361,1385
362,362
362,1258
362,1386
363,363
363,1259
363,1387
364,364
364,1260
364,1388
365,365
365,1261
365,1389
366,366
366,1262
366,1390
367,367
367,1263
367,1391
368,368
368,1264
368,1392
369,369
369,1265
369,1393
370,370
370,1266
370,1394
371,371
371,1267
371,1395
372,372
372,1268
372,1396
373,373
373,1269
373,1397
374,374
374,1270
374,1398
375,375
375,1271
375,1399
376,376
376,1272
376,1400
377,377
377,1273
377,1401
378,378
378,1274
378,1402
379,379
379,1275
379,1403
380,380
380,1276
380,1404
381,381
381,1277
381,1405
382,382
382,1278
382,1406
383,383
383,1279
383,1407
384,384
384,1280
384,1408
385,385
385,1281
385,1409
386,386
386,1282
386,1410
387,387
387,1283
387,1411
388,388
388,1284
388,1412
389,389
389,1285
389,1413
390,390
390,1286
390,1414
391,391
391,1287
391,1415
392,392
392,1288
392,1416
393,393
393,1289
393,1417
394,394
394,1290
394,1418
395,395
395,1291
395,1419
396,396
396,1292
396,1420
397,397
397,1293
397,1421
398,398
398,1294
398,1422
399,399
399,1295
399,1423
400,400
400,1296
400,1424
401,401
401,1297
401,1425
402,402
402,1298
402,1426
403,403
403,1299
403,1427
404,404
404,1300
404,1428
405,405
405,1301
405,1429
406,406
406,1302
406,1430
407,407
407,1303
407,1431
408,408
408,1304
408,1432
409,409
409,1305
409,1433
410,410
410,1306
410,1434
411,411
411,1307
411,1435
412,412
412,1308
412,1436
413,413
413,1309
413,1437
414,414
414,1310
414,1438
415,415
415,1311
415,1439
416,416
416,1312
416,1440
417,417
417,1313
417,1441
418,418
418,1314
418,1442
419,419
419,1315
419,1443
420,420
420,1316
420,1444
421,421
421,1317
421,1445
422,422
422,1318
422,1446
423,423
423,1319
423,1447
424,424
424,1320
424,1448
425,425
425,1321
425,1449
426,426
426,1322
426,1450
427,427
427,1323
427,1451
428,428
428,1324
428,1452
429,429
429,1325
429,1453
430,430
430,1326
430,1454
431,431
431,1327
431,1455
432,432
432,1328
432,1456
433,433
433,1329
433,1457
434,434
434,1330
434,1458
435,435
435,1331
435,1459
436,436
436,1332
436,1460
437,437
437,1333
437,1461
438,438
438,1334
438,1462
439,439
439,1335
439,1463
440,440
440,1336
440,1464
441,441
441,1337
441,1465
442,442
442,1338
442,1466
443,443
443,1339
443,1467
444,444
444,1340
444,1468
445,445
445,1341
445,1469
446,446
446,1342
446,1470
447,447
447,1343
447,1471
448,448
448,1344
448,1472
449,449
449,1345
449,1473
450,450
450,1346
450,1474
451,451
451,1347
451,1475
452,452
452,1348
452,1476
453,453
453,1349
453,1477
454,454
454,1350
454,1478
455,455
455,1351
455,1479
456,456
456,1352
456,1480
457,457
457,1353
457,1481
458,458
458,1354
458,1482
459,459
459,1355
459,1483
460,460
460,1356
460,1484
461,461
461,1357
461,1485
462,462
462,1358
462,1486
463,463
463,1359
463,1487
464,464
464,1360
464,1488
465,465
465,1361
465,1489
466,466
466,1362
466,1490
467,467
467,1363
467,1491
468,468
468,1364
468,1492
469,469
469,1365
